Address,Balance,lastTxHeightOnCosmosHub
juno1qqpsg94wx69q6j3la2pxphf55l7m8gap4gdvuf,16.32,Inactive
juno1qq3elyvfh34ysazuuq0ass6zvyy9wxmg88a6yz,4.15,Inactive
juno1qqka9s6ld5ng7yhned4d0c0a8f0re9a2dfy6ql,21.6,Inactive
juno1qq374xl5c5ad5cvl53kxfgzlqajzvd6rp2kluq,8.86,Inactive
juno1qqrcfa47anl278mcnel8kma04rvx650f6znf84,1.18,Inactive
juno1qq2ts4aq42dt6p7hsw7scg9clfrcgytyf2s067,2.99,5896548
juno1qqvrx8gz8wsj7cg7fkn6363qqremmvesceaame,4.09,Inactive
juno1qqhw5lvx9w97t709kn0kh5kkgu36s02d03kzad,3.7,Inactive
juno1qqw62n8upqupzjzkc282x2sh7tukyddmkhg6tx,133.64,12117771
juno1qqyl6zy3dhjrtxapp647ed04saxf35hsht3pxl,3.79,11872875
juno1qqztpypwysgg96ytk2vwa3sul4ywzfezw6ama2,1.99,8563762
juno1qqry7ul4sewxnwjww9c29a43sugcjnm64hdvzf,13.94,12629174
juno1qqwxthry38qawpc9ka3r9p9lnmhu9grcwdzdsd,4.2,8607073
juno1qqtuqznyuy8vute98nvgf03snyfgz4wvpnm5vq,29.11,7432154
juno1qq9p8799h0xqzf5j2pv3r0prrzyreszjcvuya5,1.0,11225688
juno1qqrq0mwn6kaxf4llgm307mypz4gk4n5pqzeejj,255.64,10938042
juno1qqzrtw6jp8hlwz8wehhm835lgsggq227xlj502,11.78,12674058
juno1qqqytevyr0gv3zsmfcrmdvwh5ha0zzexa00d8u,1.9,5821618
juno1qq3z0x94nu9e96yh5uvp82us93uv6e4qpaju0y,24.31,6218550
juno1qqr7ymufgzuykx4yj6mjka8ws22xdklmm6jmzh,36.31,6197956
juno1qqw7f6y0pyz0jst0ndc4wfunmc5flzq7xruf7p,13.86,12683014
juno1qq05d5hdvlx80cjvy56yy42hwd685k9eju5kv4,31.38,11858707
juno1qqyxzl2v64fegm3rdk4hpwsnlxeevtj6jzeljr,22.22,7001320
juno1qq4vhs7au3l6avqqxwks5dq8rly6t9cwz5ln22,2.32,8559020
juno1qqqyfe3l7xpxurw9e7lmplwj837uy5nu6pu5kw,10.85,6122209
juno1qqfxvpyvjcr633w45lvqldlc704krwgzma4mys,109.27,10586519
juno1qq3r5hg8kwe9p8y7etpvnjzy76xlnlfq7qfm5z,47.78,7222716
juno1qqymhez0x480l90lxdhzhg5ee847xs2jmytrxd,17.73,8666901
juno1qqjz6dqgqvc5gxxe0mm2txsn7pukxkvvvuvpun,25.19,8322619
juno1qqjhwf6gs0szyjmx2t96qjvyxugaefuwhmqmj3,9.0,8984902
juno1qqtxw9r8t5vuhdkcmvf0xarsrfkfwhvsl0lfqc,189.0,12265528
juno1qq99wv0kue34jf2us2trgcpqvy6p36c4x2u4kr,15.76,10254878
juno1qqzr7sh8rm59ype3qgw5eq5fu50cq8z0nvy4xh,14.13,9869388
juno1qqkt8vr6zupkcy05ke6pq8hzqsq9xfyg026z6w,17.81,12652020
juno1qqm2rhcyclfu6p5dhdmqy5jrt98uqfyjcvnskv,125.24,7642661
juno1qq5n0prdwp2zywy83a6fv28ngdh4nfruv4td2n,3820.75,10592952
juno1qqv0sen5v44nws9y477d9d8qshtt00tewywedz,10.06,12471417
juno1qpywqy4jpypsshsgw54j3gr0xa2hwcpf5h5uc3,20.73,Inactive
juno1qqjxjzty8kkruawh66ur9un7a89avjleusg8au,10.02,11991319
juno1qq6vshtfp9xxc3vnyp7a26u73d8u0vxh3nvk3s,66.0,5848048
juno1qqfqrt2zqw0f4f778t2qrs7j2hd6qrml50smar,106.44,10046201
juno1qq3dlx0kxhd3889wtlpqshrgtpuhj8exttzefk,41.65,10012277
juno1qprgpktxzjc6d5hledxp6f996f42wuu2j6qp74,10.62,7370205
juno1qpze742wtuw4ftaxr8m5g5g0umjapkjv2f3u9n,122.97,12622192
juno1qqm5hkw5aymr9vu9c7hvzjv74kmztu3pv8vr4f,26.65,7291200
juno1qppvwa42tqg3tqgxdc64e50j9ttltjtuulzcx2,52.21,5744324
juno1qqm0auy74thqsm326wyyw6d2qpeavary84g9ex,163.48,11768272
juno1qpr7s7q5zklynqrw85efvg5nqvght857p4ydej,7.45,7710538
juno1qqek4nv4w6h2znj578e5upfzrqcwzgt4utxqaf,4.78,6001274
juno1qp8ct6hqtwnpg0jmcy5sk5sdheukrhl70fal7u,20.79,9034832
juno1qp2e8frv8h9tz32s3d79rg9hzv08c6vu4qra3p,60.07,Inactive
juno1qpyt7s4xttsnk9ugaa40upm5k76alwtf29639k,10.56,5861601
juno1qpx0kq3nel3dv9wcxn38akt7jqm8k5yvjzrwju,28.38,7603446
juno1qpx2vsvw8c8gvr44drz0dpfnkmlz95agq3cjtx,84.84,12332281
juno1qp0jrcgp5dlnrz8zg8zv7a6c92ymnnh88h3zyx,1.24,Inactive
juno1qpjtzgudaskxgavey8enxc0d2cfp7epxm6vmp6,32.49,Inactive
juno1qpjtsay7qp9vd4n5vhpw4adj77wcpnf2nkd8hh,11.2,Inactive
juno1qp6xzt6qazrcqtp72ehxraagrh3srt5hpd3qw8,1.15,Inactive
juno1qplmkfzj5tyw5l9y8uru4lkstzvsnfvytlranf,7.89,Inactive
